App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 14 10.45	7.32	9.95	6.97	10.30	7.21	10.11	6.44	10.50	7.35	9.08	6.36	12.99	7.91	11.35	7.35	12.15	6.81	11.62	7.07	11.93	7.26	12.09	7.36	11.34	7.94	10.50	7.35	10.41	7.28	10.48	7.34	10.16	7.11	9.39	6.57	8.79	6.15	8.86	6.20	11.63	8.14	8.40	5.88	9.96	6.97	10.17	7.12	
Tier 15 11.20	7.85	10.66	7.47	11.45	8.02	10.79	6.87	11.08	7.75	9.84	6.89	13.99	8.52	12.16	7.88	13.02	7.29	12.21	7.44	13.27	8.08	12.55	7.64	11.95	8.37	11.09	7.76	11.37	7.96	11.23	7.86	10.84	7.59	10.14	7.10	9.26	6.48	9.55	6.68	12.46	8.73	8.76	6.13	10.96	7.67	11.19	7.83	
Tier 16 11.95	8.37	11.37	7.97	12.03	8.42	11.46	7.29	11.66	8.16	10.60	7.42	14.49	8.82	12.97	8.40	13.89	7.78	12.79	7.78	14.07	8.57	13.70	8.34	13.17	9.22	11.67	8.17	11.85	8.30	12.23	8.56	11.29	7.90	10.89	7.62	10.43	7.30	10.24	7.17	13.30	9.31	9.49	6.64	11.95	8.37	12.21	8.54	
Tier 17 12.70	8.89	12.09	8.47	12.60	8.82	12.14	7.73	12.25	8.57	11.35	7.95	14.99	9.12	13.78	8.93	14.76	8.26	13.95	8.49	14.61	8.89	14.85	9.04	13.78	9.65	12.84	8.99	12.33	8.63	12.98	9.08	12.42	8.69	11.64	8.15	11.13	7.79	10.92	7.65	14.13	9.89	10.22	7.16	12.95	9.07	13.22	9.26	
Tier 18 13.44	9.42	12.80	8.96	13.18	9.23	12.81	8.15	13.41	9.39	12.11	8.48	15.99	9.73	14.59	9.46	15.62	8.75	15.11	9.20	15.95	9.71	15.54	9.46	14.39	10.07	13.42	9.40	13.30	9.31	13.48	9.43	13.10	9.17	12.39	8.67	11.60	8.12	11.61	8.13	14.96	10.47	10.95	7.67	13.55	9.48	13.83	9.68	
Tier 19 14.19	9.94	13.51	9.46	14.33	10.03	13.49	8.58	14.00	9.80	12.49	8.74	16.99	10.34	15.40	9.98	16.49	9.24	15.70	9.55	16.76	10.20	16.00	9.74	15.00	10.50	14.01	9.81	14.26	9.98	14.22	9.96	13.55	9.49	13.14	9.20	12.31	8.61	12.30	8.61	15.79	11.06	11.32	7.92	13.95	9.76	14.24	9.97	
Tier 20 14.94	10.46	14.22	9.96	14.91	10.43	14.16	9.01	14.58	10.20	12.87	9.01	17.99	10.95	16.21	10.50	17.36	9.72	16.28	9.91	17.29	10.53	17.15	10.44	15.61	10.93	15.18	10.63	15.23	10.66	14.72	10.31	14.68	10.28	13.52	9.46	12.89	9.02	12.98	9.09	16.63	11.64	11.68	8.18	14.94	10.46	15.26	10.68	
Tier 21 15.69	10.99	14.93	10.46	15.48	10.84	14.84	9.44	15.16	10.61	13.62	9.54	18.99	11.56	17.02	11.03	18.23	10.21	17.44	10.61	18.63	11.34	18.30	11.14	16.83	11.78	15.76	11.04	15.71	10.99	15.72	11.01	15.36	10.75	14.27	9.99	13.48	9.44	13.67	9.57	17.46	12.22	12.41	8.69	15.54	10.88	15.87	11.11	
Tier 22 16.43	11.51	15.64	10.96	16.63	11.64	15.51	9.87	16.33	11.43	14.38	10.07	19.99	12.17	17.83	11.56	19.10	10.69	18.02	10.97	19.44	11.83	19.45	11.84	18.05	12.63	16.35	11.44	16.19	11.33	16.47	11.53	15.81	11.07	15.02	10.52	14.06	9.85	14.36	10.05	18.29	12.80	13.14	9.20	15.94	11.16	16.28	11.39	
Tier 23 17.18	12.03	16.35	11.45	17.21	12.05	16.19	10.30	16.91	11.84	15.14	10.60	20.99	12.78	18.64	12.08	19.96	11.18	18.61	11.32	19.97	12.16	20.14	12.26	18.66	13.06	16.93	11.85	17.15	12.01	17.22	12.05	16.94	11.86	15.77	11.04	14.65	10.26	15.04	10.53	19.12	13.39	13.87	9.71	16.94	11.86	17.29	12.10	
Tier 24 17.93	12.55	17.07	11.95	17.78	12.45	16.86	10.73	17.50	12.25	15.89	11.13	21.49	13.08	19.45	12.61	20.83	11.67	19.77	12.03	21.31	12.97	20.61	12.54	19.27	13.49	18.10	12.67	18.12	12.68	17.97	12.58	17.62	12.34	16.53	11.57	15.24	10.67	15.73	11.01	19.96	13.97	14.24	9.97	17.53	12.27	17.90	12.53	
Tier 25 18.68	13.08	17.78	12.45	18.94	13.26	17.54	11.16	18.08	12.65	16.65	11.66	21.99	13.39	20.26	13.13	21.70	12.15	20.35	12.39	22.12	13.46	21.76	13.24	19.88	13.92	18.68	13.08	19.08	13.36	18.72	13.10	18.07	12.65	16.90	11.83	15.82	11.08	16.42	11.49	20.79	14.55	14.60	10.22	17.93	12.55	18.31	12.82	
Tier 26 19.42	13.60	18.49	12.95	19.51	13.66	18.21	11.59	19.25	13.47	17.41	12.19	22.99	13.99	21.07	13.66	22.57	12.64	20.93	12.74	22.65	13.79	22.45	13.66	20.49	14.34	19.27	13.49	19.56	13.69	19.72	13.80	19.21	13.44	17.65	12.36	16.41	11.49	17.11	11.97	21.62	15.13	15.33	10.73	18.93	13.25	19.33	13.53	
Tier 27 20.17	14.12	19.20	13.45	20.09	14.06	18.88	12.02	20.41	14.29	18.17	12.72	23.99	14.60	21.88	14.18	23.44	13.12	22.10	13.45	23.99	14.61	22.91	13.94	21.71	15.20	20.43	14.31	20.04	14.03	20.46	14.32	19.88	13.92	18.40	12.88	17.58	12.31	17.79	12.45	22.45	15.72	16.06	11.24	19.93	13.95	20.34	14.24	
Tier 28 20.92	14.65	19.91	13.94	20.66	14.46	20.23	12.87	21.00	14.70	18.54	12.98	24.99	15.21	22.69	14.71	24.30	13.61	22.68	13.80	24.80	15.09	24.06	14.64	22.93	16.05	21.02	14.72	21.01	14.70	20.96	14.67	20.34	14.24	19.16	13.41	18.17	12.72	18.48	12.94	23.29	16.30	16.79	11.76	20.92	14.64	21.36	14.95	
Tier 29 21.66	15.17	20.62	14.44	21.81	15.27	20.91	13.30	21.58	15.10	18.92	13.25	25.99	15.82	23.10	14.97	25.17	14.10	23.26	14.16	25.33	15.42	25.21	15.34	23.54	16.90	21.60	15.12	21.97	15.38	21.71	15.20	21.47	15.03	19.91	13.93	18.75	13.13	19.17	13.42	24.12	16.88	17.16	12.01	21.52	15.06	21.97	15.38	
Tier 30 22.41	15.69	21.33	14.94	22.39	15.67	21.58	13.74	22.75	15.92	19.68	13.78	26.99	16.43	23.50	15.24	25.92	14.51	24.42	14.87	26.68	16.24	26.36	16.05	24.15	16.90	22.77	15.94	22.93	16.05	22.21	15.55	22.15	15.50	20.28	14.20	19.34	13.54	19.85	13.90	24.95	17.47	17.52	12.27	21.92	15.34	22.38	15.66	
Tier 31 23.16	16.22	22.05	15.44	22.96	16.08	22.26	14.16	23.33	16.33	20.44	14.31	27.99	17.04	24.31	15.76	26.91	15.07	25.59	15.58	27.48	16.73	27.05	16.47	25.37	17.76	23.36	16.35	23.42	16.39	23.21	16.25	22.60	15.82	21.03	14.72	19.93	13.95	20.54	14.38	25.78	18.05	18.25	12.78	22.91	16.04	23.40	16.38	
Tier 32 23.91	16.74	22.76	15.93	24.12	16.88	22.93	14.59	23.91	16.74	21.19	14.84	28.99	17.65	25.12	16.28	27.78	15.55	26.17	15.93	28.02	17.05	27.51	16.75	26.59	18.61	23.94	16.76	23.90	16.73	23.96	16.77	23.28	16.29	21.79	15.25	20.51	14.36	21.23	14.86	26.62	18.63	18.98	13.29	23.51	16.46	24.01	16.80	
Tier 33 24.65	17.26	23.47	16.43	24.69	17.28	23.61	15.03	24.50	17.15	21.95	15.37	29.49	17.95	25.93	16.81	28.64	16.04	26.75	16.28	29.36	17.87	28.20	17.17	27.20	19.04	24.52	17.17	24.86	17.40	24.71	17.29	23.73	16.61	22.54	15.77	21.10	14.77	21.91	15.34	27.45	19.21	19.71	13.80	23.91	16.74	24.41	17.09	
Tier 34 25.40	17.79	24.18	16.93	25.27	17.69	24.28	15.45	25.66	17.96	22.33	15.63	29.99	18.25	26.74	17.34	29.51	16.53	27.91	16.99	30.16	18.36	28.66	17.45	27.81	19.46	25.69	17.99	25.83	18.08	25.45	17.82	24.86	17.40	23.29	16.30	21.68	15.18	22.60	15.82	28.28	19.80	20.08	14.06	24.91	17.43	25.43	17.80	
Tier 35 26.15	18.31	24.89	17.43	26.42	18.49	24.96	15.88	26.25	18.37	22.71	15.89	30.99	18.86	27.56	17.86	30.38	17.01	28.50	17.35	30.70	18.68	30.50	18.57	28.42	19.89	26.28	18.40	26.79	18.75	26.20	18.34	25.54	17.88	23.66	16.56	22.27	15.59	23.29	16.30	29.11	20.38	20.44	14.31	25.51	17.85	26.04	18.23	
Tier 36 26.90	18.83	25.60	17.93	26.99	18.90	25.63	16.31	26.83	18.78	23.46	16.42	31.99	19.47	28.37	18.39	31.25	17.50	29.08	17.70	32.04	19.50	30.97	18.85	29.03	20.32	26.86	18.81	27.27	19.09	27.20	19.04	25.99	18.19	24.42	17.09	23.44	16.41	23.98	16.78	29.94	20.96	21.17	14.82	25.90	18.13	26.45	18.51	
Tier 37 27.64	19.36	26.31	18.42	27.57	19.30	26.31	16.74	27.41	19.19	24.22	16.95	32.99	20.08	29.18	18.91	32.12	17.98	30.24	18.41	32.84	19.99	31.66	19.27	29.64	20.74	28.03	19.62	27.75	19.43	27.95	19.57	27.12	18.99	25.17	17.62	24.03	16.82	24.66	17.26	30.78	21.54	21.91	15.33	26.90	18.83	27.47	19.23	
Tier 38 28.39	19.88	27.03	18.92	28.15	19.70	26.98	17.17	28.00	19.60	24.98	17.48	33.99	20.69	29.99	19.43	32.98	18.47	31.40	19.12	33.38	20.32	32.81	19.97	30.24	21.17	28.61	20.03	28.72	20.10	28.45	19.91	27.80	19.46	25.92	18.14	24.61	17.23	25.35	17.74	31.61	22.13	22.64	15.84	27.90	19.53	28.48	19.94	
Tier 39 29.14	20.40	27.74	19.42	29.30	20.51	27.66	17.60	28.58	20.01	25.73	18.01	34.99	21.30	30.80	19.96	33.85	18.96	31.99	19.47	34.72	21.13	33.27	20.25	30.85	21.60	29.20	20.44	29.68	20.78	29.20	20.44	28.25	19.78	26.67	18.67	25.20	17.64	26.04	18.23	32.44	22.71	23.00	16.10	28.89	20.22	29.50	20.65	
Tier 40 29.88	20.92	28.45	19.92	29.87	20.91	28.33	18.03	29.16	20.41	26.11	18.28	35.99	21.91	31.61	20.49	34.72	19.44	32.57	19.83	35.52	21.62	34.42	20.95	31.46	22.03	30.37	21.26	30.64	21.45	29.70	20.79	29.39	20.57	27.05	18.93	25.79	18.05	26.72	18.71	33.27	23.29	23.37	16.36	29.49	20.64	30.11	21.08	
Tier 41 30.63	21.45	29.16	20.42	30.45	21.31	29.01	18.46	29.75	20.82	26.49	18.54	36.99	22.52	32.42	21.02	35.59	19.93	33.73	20.54	36.06	21.95	35.57	21.65	32.07	22.45	30.95	21.67	31.13	21.79	30.70	21.49	30.06	21.05	27.80	19.46	26.37	18.46	27.14	18.99	34.11	23.87	24.10	16.87	29.89	20.92	30.52	21.36	
Tier 42 31.38	21.97	29.87	20.91	31.60	22.12	29.68	18.88	30.33	21.23	27.25	19.07	37.49	22.82	33.23	21.53	36.46	20.42	34.31	20.89	37.40	22.76	36.26	22.07	32.68	22.88	31.53	22.08	31.61	22.12	31.44	22.01	30.52	21.36	28.55	19.98	26.96	18.87	27.41	19.19	34.94	24.46	24.83	17.38	30.89	21.62	31.54	22.07	
Tier 43 32.13	22.49	30.58	21.41	32.17	22.52	30.35	19.32	31.50	22.05	28.01	19.60	37.99	23.12	34.04	22.06	37.32	20.90	34.89	21.23	38.20	23.25	36.72	22.35	33.29	23.31	32.12	22.49	32.57	22.80	32.19	22.54	31.65	22.15	29.30	20.51	27.54	19.28	28.10	19.67	35.77	25.04	25.56	17.89	31.48	22.04	32.15	22.50	
Tier 44 32.87	23.02	31.29	21.91	32.75	22.92	31.03	19.75	32.08	22.46	28.76	20.13	38.99	23.73	34.85	22.59	38.19	21.39	36.06	21.94	38.74	23.58	37.87	23.05	33.90	23.73	33.29	23.30	33.53	23.47	32.94	23.06	32.33	22.63	30.05	21.03	28.13	19.69	28.78	20.15	36.60	25.62	25.92	18.14	31.88	22.32	32.55	22.79	
Tier 45 33.62	23.54	32.01	22.41	33.90	23.73	31.70	20.17	32.66	22.86	29.52	20.66	39.99	24.34	35.66	23.11	39.06	21.87	37.22	22.65	40.08	24.40	39.02	23.75	34.51	24.16	33.87	23.71	34.50	24.15	33.69	23.58	32.78	22.95	30.43	21.30	28.72	20.10	29.47	20.63	37.44	26.21	26.29	18.40	32.88	23.01	33.57	23.50	
Tier 46 34.37	24.06	32.72	22.91	34.48	24.13	32.38	20.61	33.25	23.27	29.90	20.93	40.99	24.95	36.47	23.64	39.93	22.36	37.80	23.02	40.88	24.89	39.71	24.17	35.12	24.59	34.46	24.12	34.98	24.49	34.69	24.28	33.91	23.74	31.18	21.82	29.30	20.51	30.16	21.11	38.27	26.79	27.02	18.91	33.48	23.43	34.18	23.93	
Tier 47 35.12	24.59	33.43	23.40	35.05	24.54	33.05	21.04	34.42	24.09	30.28	21.19	41.99	25.56	37.28	24.16	40.80	22.85	38.39	23.36	41.42	25.21	40.17	24.45	36.34	25.44	35.62	24.94	35.46	24.82	35.44	24.81	34.59	24.21	31.93	22.35	29.89	20.92	30.85	21.59	39.10	27.37	27.75	19.42	33.88	23.71	34.59	24.21	
Tier 48 35.86	25.11	34.14	23.90	35.63	24.94	33.73	21.46	35.00	24.50	31.03	21.72	42.99	26.17	38.09	24.69	41.66	23.33	39.55	24.07	42.76	26.03	41.33	25.15	37.56	26.29	36.21	25.35	36.42	25.50	35.94	25.16	35.04	24.53	32.68	22.88	30.47	21.33	31.53	22.07	39.93	27.95	28.48	19.93	34.87	24.41	35.60	24.92	
Tier 49 36.61	25.63	34.85	24.40	36.78	25.74	34.40	21.89	35.58	24.91	31.79	22.25	43.99	26.78	38.50	24.95	42.53	23.82	40.13	24.42	43.56	26.52	42.48	25.86	38.78	27.15	36.79	25.76	37.39	26.17	36.69	25.68	35.97	25.18	33.43	23.40	31.06	21.74	32.22	22.55	40.77	28.54	28.84	20.19	35.87	25.11	36.62	25.63	
Tier 50 37.36	26.16	35.56	24.90	37.35	26.15	35.08	22.32	37.92	26.54	32.55	22.78	44.99	27.39	38.90	25.21	43.28	24.23	40.71	24.78	44.10	26.84	43.63	26.56	40.00	28.00	37.96	26.57	38.35	26.85	37.18	26.03	38.23	26.76	33.81	23.66	31.65	22.15	32.91	23.03	41.60	29.12	29.21	20.44	36.86	25.80	37.64	26.35	
Tier 51 41.09	28.77	39.12	27.39	40.23	28.16	40.47	25.76	43.75	30.62	36.33	25.43	49.99	30.43	44.57	28.89	47.74	26.73	44.20	26.90	50.80	30.92	45.93	27.96	42.44	29.71	40.30	28.21	40.28	28.20	39.68	27.78	40.49	28.35	37.56	26.29	33.99	23.79	34.28	24.00	45.76	32.03	32.86	23.00	39.85	27.90	40.69	28.48	
Tier 52 44.83	31.39	42.68	29.88	45.99	32.19	43.85	27.91	46.67	32.66	39.36	27.55	54.99	33.47	48.63	31.52	52.08	29.16	46.53	28.32	53.48	32.56	48.23	29.36	47.32	33.12	43.80	30.66	43.17	30.22	44.67	31.27	45.02	31.51	41.32	28.92	37.51	26.25	37.71	26.40	49.92	34.94	36.51	25.56	43.84	30.69	44.76	31.33	
Tier 53 48.57	34.00	46.23	32.37	48.87	34.21	47.22	30.05	49.58	34.71	43.14	30.20	59.99	36.52	52.68	34.14	56.42	31.60	52.35	31.87	57.51	35.00	53.99	32.86	50.98	35.68	46.14	32.30	47.02	32.92	49.66	34.76	47.28	33.10	45.08	31.55	41.02	28.72	41.15	28.80	54.08	37.86	40.16	28.11	45.83	32.08	46.80	32.76	
Tier 54 52.30	36.62	49.79	34.86	51.74	36.22	50.60	32.20	55.42	38.79	46.17	32.32	62.99	38.34	56.73	36.77	60.76	34.03	55.84	33.99	60.19	36.63	59.74	36.37	54.64	38.25	51.98	36.39	52.81	36.96	52.16	36.51	51.80	36.26	48.83	34.18	45.71	32.00	44.58	31.21	58.25	40.77	42.35	29.65	49.82	34.87	50.86	35.60	
Tier 55 56.04	39.23	53.35	37.35	57.50	40.25	53.97	34.34	58.33	40.83	49.20	34.44	64.99	39.56	60.78	39.40	65.10	36.46	58.17	35.41	66.89	40.71	65.50	39.87	59.51	41.66	55.49	38.84	56.66	39.66	54.65	38.26	56.33	39.43	52.59	36.81	49.23	34.46	48.02	33.61	62.41	43.68	43.81	30.67	55.80	39.06	56.97	39.88	
Tier 56 59.78	41.85	56.90	39.84	60.38	42.26	57.34	36.49	61.25	42.87	52.23	36.56	69.99	42.60	64.84	42.02	69.44	38.89	63.98	38.94	70.91	43.16	68.95	41.97	63.17	44.22	57.82	40.48	59.55	41.69	59.64	41.75	60.85	42.60	54.47	38.13	52.74	36.92	51.45	36.02	66.57	46.60	47.46	33.22	59.78	41.85	61.04	42.73	
Tier 57 63.51	44.46	60.46	42.33	63.25	44.28	60.72	38.64	64.17	44.92	56.01	39.21	74.99	45.65	68.89	44.65	73.78	41.32	67.47	41.07	73.59	44.79	71.25	43.37	66.83	46.78	61.33	42.93	62.44	43.71	62.14	43.50	63.11	44.18	56.35	39.44	55.09	38.56	54.89	38.42	70.73	49.51	51.11	35.78	63.77	44.64	65.11	45.57	
Tier 58 67.25	47.08	64.02	44.82	69.01	48.31	64.09	40.79	67.09	46.96	59.04	41.33	79.99	48.69	72.94	47.27	78.12	43.75	69.80	42.49	80.29	48.87	75.86	46.18	71.71	50.20	63.66	44.57	66.30	46.41	67.13	46.99	67.64	47.35	60.10	42.07	57.43	40.20	58.32	40.83	74.89	52.42	54.76	38.33	65.76	46.03	67.14	47.00	
Tier 59 70.99	49.70	67.57	47.31	71.89	50.32	67.46	42.93	70.00	49.00	62.07	43.45	84.99	51.73	76.99	49.90	82.46	46.18	75.62	46.03	84.31	51.32	80.46	48.98	75.37	52.76	69.51	48.66	72.08	50.46	69.63	48.74	69.90	48.93	63.86	44.70	60.95	42.66	61.76	43.23	79.05	55.34	56.95	39.87	69.75	48.82	71.21	49.85	
Tier 60 74.72	52.31	71.13	49.80	74.77	52.34	74.21	47.22	72.92	51.04	64.34	45.04	89.99	54.78	81.05	52.53	86.80	48.61	81.44	49.57	87.00	52.95	86.22	52.48	79.03	55.32	75.35	52.75	75.93	53.15	74.62	52.23	74.43	52.10	67.62	47.33	64.46	45.12	65.19	45.64	83.22	58.25	58.41	40.89	73.73	51.61	75.28	52.70	
Tier 61 82.20	57.54	78.24	54.78	80.52	56.36	80.96	51.52	87.51	61.25	71.91	50.33	94.99	57.82	89.15	57.79	95.48	53.47	87.25	53.12	100.40	61.11	91.97	55.98	85.12	59.59	81.19	56.84	81.72	57.20	82.10	57.47	78.95	55.26	75.13	52.59	69.15	48.41	72.06	50.44	91.54	64.08	65.72	46.00	79.71	55.80	81.38	56.97	
Tier 62 89.67	62.77	85.36	59.76	86.28	60.39	87.70	55.81	93.34	65.34	79.47	55.63	99.99	60.86	97.25	63.04	104.16	58.33	93.07	56.65	107.10	65.19	97.73	59.49	97.32	68.12	87.03	60.93	85.57	59.90	89.59	62.71	85.74	60.02	82.65	57.85	76.19	53.33	78.93	55.25	99.86	69.90	73.02	51.11	85.69	59.98	87.49	61.24	
Tier 63 93.41	65.39	88.92	62.25	92.03	64.42	91.08	57.96	96.26	67.38	83.26	58.28	104.99	63.91	101.31	65.66	107.88	60.41	98.89	60.19	113.80	69.27	101.18	61.59	99.76	69.83	92.87	65.01	95.21	66.64	94.58	66.21	88.00	61.60	86.40	60.48	80.87	56.61	82.37	57.66	104.03	72.82	76.67	53.67	89.67	62.77	91.56	64.09	
Tier 64 97.14	68.01	92.47	64.74	97.79	68.45	94.45	60.10	99.17	69.42	87.04	60.93	109.99	66.95	105.36	68.29	112.84	63.19	104.71	63.74	120.51	73.35	103.49	62.99	103.42	72.39	98.72	69.10	100.99	70.69	97.08	67.95	90.26	63.18	90.16	63.11	87.91	61.53	85.80	60.06	108.19	75.73	80.32	56.22	95.65	66.96	97.66	68.36	
